fecha,anio,mes,ICEN
1990-02-01,1990,2,-0.19
1990-03-01,1990,3,-0.22
1990-04-01,1990,4,-0.27
1990-05-01,1990,5,-0.24
1990-06-01,1990,6,-0.3
1990-07-01,1990,7,-0.4
1990-08-01,1990,8,-0.48
1990-09-01,1990,9,-0.49
1990-10-01,1990,10,-0.57
1990-11-01,1990,11,-0.6
1990-12-01,1990,12,-0.54
1991-01-01,1991,1,-0.4
1991-02-01,1991,2,-0.26
1991-03-01,1991,3,-0.19
1991-04-01,1991,4,-0.16
1991-05-01,1991,5,-0.03
1991-06-01,1991,6,0.28
1991-07-01,1991,7,0.47
1991-08-01,1991,8,0.53
1991-09-01,1991,9,0.51
1991-10-01,1991,10,0.58
1991-11-01,1991,11,0.65
1991-12-01,1991,12,0.62
1992-01-01,1992,1,0.67
1992-02-01,1992,2,0.89
1992-03-01,1992,3,1.45
1992-04-01,1992,4,1.99
1992-05-01,1992,5,1.86
1992-06-01,1992,6,1.12
1992-07-01,1992,7,0.29
1992-08-01,1992,8,-0.01
1992-09-01,1992,9,-0.01
1992-10-01,1992,10,-0.04
1992-11-01,1992,11,-0.14
1992-12-01,1992,12,-0.11
1993-01-01,1993,1,0.1
1993-02-01,1993,2,0.41
1993-03-01,1993,3,0.82
1993-04-01,1993,4,1.11
1993-05-01,1993,5,1.26
1993-06-01,1993,6,1.08
1993-07-01,1993,7,0.85
1993-08-01,1993,8,0.6
1993-09-01,1993,9,0.52
1993-10-01,1993,10,0.38
1993-11-01,1993,11,0.21
1993-12-01,1993,12,0.03
1994-01-01,1994,1,-0.1
1994-02-01,1994,2,-0.36
1994-03-01,1994,3,-0.76
1994-04-01,1994,4,-1.0
1994-05-01,1994,5,-0.97
1994-06-01,1994,6,-0.83
1994-07-01,1994,7,-0.86
1994-08-01,1994,8,-0.63
1994-09-01,1994,9,-0.11
1994-10-01,1994,10,0.38
1994-11-01,1994,11,0.67
1994-12-01,1994,12,0.68
1995-01-01,1995,1,0.6
1995-02-01,1995,2,0.23
1995-03-01,1995,3,-0.54
1995-04-01,1995,4,-1.04
1995-05-01,1995,5,-1.18
1995-06-01,1995,6,-0.86
1995-07-01,1995,7,-0.57
1995-08-01,1995,8,-0.38
1995-09-01,1995,9,-0.4
1995-10-01,1995,10,-0.41
1995-11-01,1995,11,-0.64
1995-12-01,1995,12,-0.66
1996-01-01,1996,1,-0.65
1996-02-01,1996,2,-0.42
1996-03-01,1996,3,-0.82
1996-04-01,1996,4,-1.13
1996-05-01,1996,5,-1.64
1996-06-01,1996,6,-1.43
1996-07-01,1996,7,-1.3
1996-08-01,1996,8,-0.92
1996-09-01,1996,9,-0.76
1996-10-01,1996,10,-0.84
1996-11-01,1996,11,-1.03
1996-12-01,1996,12,-1.08
1997-01-01,1997,1,-0.74
1997-02-01,1997,2,-0.14
1997-03-01,1997,3,0.48
1997-04-01,1997,4,1.29
1997-05-01,1997,5,2.12
1997-06-01,1997,6,3.02
1997-07-01,1997,7,3.57
1997-08-01,1997,8,3.85
1997-09-01,1997,9,3.85
1997-10-01,1997,10,4.01
1997-11-01,1997,11,4.08
1997-12-01,1997,12,4.06
1998-01-01,1998,1,3.49
1998-02-01,1998,2,3.03
1998-03-01,1998,3,2.76
1998-04-01,1998,4,2.81
1998-05-01,1998,5,2.66
1998-06-01,1998,6,2.22
1998-07-01,1998,7,1.58
1998-08-01,1998,8,0.87
1998-09-01,1998,9,0.49
1998-10-01,1998,10,0.11
1998-11-01,1998,11,-0.05
1998-12-01,1998,12,-0.4
1999-01-01,1999,1,-0.49
1999-02-01,1999,2,-0.4
1999-03-01,1999,3,-0.42
1999-04-01,1999,4,-0.44
1999-05-01,1999,5,-0.67
1999-06-01,1999,6,-0.46
1999-07-01,1999,7,-0.32
1999-08-01,1999,8,-0.46
1999-09-01,1999,9,-0.69
1999-10-01,1999,10,-1.08
1999-11-01,1999,11,-0.96
1999-12-01,1999,12,-0.91
2000-01-01,2000,1,-0.66
2000-02-01,2000,2,-0.56
2000-03-01,2000,3,-0.3
2000-04-01,2000,4,-0.21
2000-05-01,2000,5,-0.16
2000-06-01,2000,6,-0.25
2000-07-01,2000,7,-0.37
2000-08-01,2000,8,-0.36
2000-09-01,2000,9,-0.37
2000-10-01,2000,10,-0.59
2000-11-01,2000,11,-0.86
2000-12-01,2000,12,-0.95
2001-01-01,2001,1,-0.68
2001-02-01,2001,2,-0.25
2001-03-01,2001,3,0.02
2001-04-01,2001,4,-0.05
2001-05-01,2001,5,-0.39
2001-06-01,2001,6,-0.67
2001-07-01,2001,7,-0.75
2001-08-01,2001,8,-0.88
2001-09-01,2001,9,-1.07
2001-10-01,2001,10,-1.09
2001-11-01,2001,11,-1.04
2001-12-01,2001,12,-0.89
2002-01-01,2002,1,-0.59
2002-02-01,2002,2,0.04
2002-03-01,2002,3,0.57
2002-04-01,2002,4,0.81
2002-05-01,2002,5,0.67
2002-06-01,2002,6,0.3
2002-07-01,2002,7,-0.03
2002-08-01,2002,8,-0.12
2002-09-01,2002,9,0.07
2002-10-01,2002,10,0.48
2002-11-01,2002,11,0.79
2002-12-01,2002,12,0.74
2003-01-01,2003,1,0.4
2003-02-01,2003,2,0.04
2003-03-01,2003,3,-0.19
2003-04-01,2003,4,-0.69
2003-05-01,2003,5,-1.12
2003-06-01,2003,6,-1.3
2003-07-01,2003,7,-0.78
2003-08-01,2003,8,-0.51
2003-09-01,2003,9,-0.1
2003-10-01,2003,10,-0.01
2003-11-01,2003,11,0.22
2003-12-01,2003,12,0.1
2004-01-01,2004,1,0.02
2004-02-01,2004,2,-0.27
2004-03-01,2004,3,-0.39
2004-04-01,2004,4,-0.89
2004-05-01,2004,5,-1.01
2004-06-01,2004,6,-1.11
2004-07-01,2004,7,-0.86
2004-08-01,2004,8,-0.62
2004-09-01,2004,9,-0.32
2004-10-01,2004,10,0.16
2004-11-01,2004,11,0.38
2004-12-01,2004,12,0.36
2005-01-01,2005,1,-0.17
2005-02-01,2005,2,-0.74
2005-03-01,2005,3,-0.88
2005-04-01,2005,4,-0.68
2005-05-01,2005,5,-0.46
2005-06-01,2005,6,-0.46
2005-07-01,2005,7,-0.5
2005-08-01,2005,8,-0.52
2005-09-01,2005,9,-0.84
2005-10-01,2005,10,-1.18
2005-11-01,2005,11,-1.23
2005-12-01,2005,12,-0.92
2006-01-01,2006,1,-0.37
2006-02-01,2006,2,-0.15
2006-03-01,2006,3,-0.52
2006-04-01,2006,4,-0.78
2006-05-01,2006,5,-0.76
2006-06-01,2006,6,-0.19
2006-07-01,2006,7,0.23
2006-08-01,2006,8,0.62
2006-09-01,2006,9,0.91
2006-10-01,2006,10,0.94
2006-11-01,2006,11,0.86
2006-12-01,2006,12,0.72
2007-01-01,2007,1,0.5
2007-02-01,2007,2,0.05
2007-03-01,2007,3,-0.59
2007-04-01,2007,4,-1.22
2007-05-01,2007,5,-1.54
2007-06-01,2007,6,-1.46
2007-07-01,2007,7,-1.26
2007-08-01,2007,8,-1.05
2007-09-01,2007,9,-1.23
2007-10-01,2007,10,-1.41
2007-11-01,2007,11,-1.64
2007-12-01,2007,12,-1.29
2008-01-01,2008,1,-0.64
2008-02-01,2008,2,0.04
2008-03-01,2008,3,0.34
2008-04-01,2008,4,0.44
2008-05-01,2008,5,0.5
2008-06-01,2008,6,0.69
2008-07-01,2008,7,0.98
2008-08-01,2008,8,1.13
2008-09-01,2008,9,0.92
2008-10-01,2008,10,0.37
2008-11-01,2008,11,-0.12
2008-12-01,2008,12,-0.3
2009-01-01,2009,1,-0.43
2009-02-01,2009,2,-0.55
2009-03-01,2009,3,-0.36
2009-04-01,2009,4,-0.02
2009-05-01,2009,5,0.47
2009-06-01,2009,6,0.58
2009-07-01,2009,7,0.75
2009-08-01,2009,8,0.7
2009-09-01,2009,9,0.56
2009-10-01,2009,10,0.39
2009-11-01,2009,11,0.42
2009-12-01,2009,12,0.41
2010-01-01,2010,1,0.35
2010-02-01,2010,2,0.18
2010-03-01,2010,3,0.05
2010-04-01,2010,4,0.09
2010-05-01,2010,5,0.07
2010-06-01,2010,6,-0.24
2010-07-01,2010,7,-0.75
2010-08-01,2010,8,-1.16
2010-09-01,2010,9,-1.24
2010-10-01,2010,10,-1.25
2010-11-01,2010,11,-1.13
2010-12-01,2010,12,-0.88
2011-01-01,2011,1,-0.5
2011-02-01,2011,2,-0.5
2011-03-01,2011,3,-0.4
2011-04-01,2011,4,-0.31
2011-05-01,2011,5,0.08
2011-06-01,2011,6,0.18
2011-07-01,2011,7,0.08
2011-08-01,2011,8,-0.28
2011-09-01,2011,9,-0.59
2011-10-01,2011,10,-0.71
2011-11-01,2011,11,-0.67
2011-12-01,2011,12,-0.46
2012-01-01,2012,1,-0.15
2012-02-01,2012,2,0.11
2012-03-01,2012,3,0.47
2012-04-01,2012,4,0.65
2012-05-01,2012,5,0.94
2012-06-01,2012,6,0.77
2012-07-01,2012,7,0.5
2012-08-01,2012,8,0.18
2012-09-01,2012,9,-0.07
2012-10-01,2012,10,-0.23
2012-11-01,2012,11,-0.53
2012-12-01,2012,12,-0.63
2013-01-01,2013,1,-0.73
2013-02-01,2013,2,-0.67
2013-03-01,2013,3,-0.85
2013-04-01,2013,4,-1.13
2013-05-01,2013,5,-1.54
2013-06-01,2013,6,-1.66
2013-07-01,2013,7,-1.52
2013-08-01,2013,8,-1.15
2013-09-01,2013,9,-0.86
2013-10-01,2013,10,-0.66
2013-11-01,2013,11,-0.55
2013-12-01,2013,12,-0.31
2014-01-01,2014,1,-0.33
2014-02-01,2014,2,-0.29
2014-03-01,2014,3,-0.3
2014-04-01,2014,4,0.25
2014-05-01,2014,5,0.87
2014-06-01,2014,6,1.21
2014-07-01,2014,7,1.15
2014-08-01,2014,8,0.9
2014-09-01,2014,9,0.81
2014-10-01,2014,10,0.77
2014-11-01,2014,11,0.65
2014-12-01,2014,12,0.37
2015-01-01,2015,1,-0.06
2015-02-01,2015,2,-0.18
2015-03-01,2015,3,0.2
2015-04-01,2015,4,0.88
2015-05-01,2015,5,1.6
2015-06-01,2015,6,2.1
2015-07-01,2015,7,2.13
2015-08-01,2015,8,2.15
2015-09-01,2015,9,2.02
2015-10-01,2015,10,2.23
2015-11-01,2015,11,2.21
2015-12-01,2015,12,2.06
2016-01-01,2016,1,1.75
2016-02-01,2016,2,1.45
2016-03-01,2016,3,1.05
2016-04-01,2016,4,0.77
2016-05-01,2016,5,0.51
2016-06-01,2016,6,0.42
2016-07-01,2016,7,0.34
2016-08-01,2016,8,0.35
2016-09-01,2016,9,0.36
2016-10-01,2016,10,0.31
2016-11-01,2016,11,0.25
2016-12-01,2016,12,0.47
2017-01-01,2017,1,0.89
2017-02-01,2017,2,1.29
2017-03-01,2017,3,1.31
2017-04-01,2017,4,0.92
2017-05-01,2017,5,0.31
2017-06-01,2017,6,-0.13
2017-07-01,2017,7,-0.32
2017-08-01,2017,8,-0.52
2017-09-01,2017,9,-0.69
2017-10-01,2017,10,-0.97
2017-11-01,2017,11,-1.21
2017-12-01,2017,12,-1.3
2018-01-01,2018,1,-1.25
2018-02-01,2018,2,-1.21
2018-03-01,2018,3,-1.16
2018-04-01,2018,4,-1.07
2018-05-01,2018,5,-0.84
2018-06-01,2018,6,-0.61
2018-07-01,2018,7,-0.46
2018-08-01,2018,8,-0.24
2018-09-01,2018,9,-0.09
2018-10-01,2018,10,0.27
2018-11-01,2018,11,0.63
2018-12-01,2018,12,0.87
2019-01-01,2019,1,0.78
2019-02-01,2019,2,0.49
2019-03-01,2019,3,0.31
2019-04-01,2019,4,0.21
2019-05-01,2019,5,0.05
2019-06-01,2019,6,-0.28
2019-07-01,2019,7,-0.6
2019-08-01,2019,8,-0.72
2019-09-01,2019,9,-0.74
2019-10-01,2019,10,-0.53
2019-11-01,2019,11,-0.3
2019-12-01,2019,12,-0.18
2020-01-01,2020,1,-0.14
