fecha,anio,mes,ICEN,ONI,SSN,precipitacion_mm
1954-08-01,1954,8,-1.54,-0.83,12.6,33.78617175620973
1954-09-01,1954,9,-1.31,-0.73,2.3,56.72781322553495
1954-10-01,1954,10,-1.23,-0.52,10.5,146.2928727686688
1954-11-01,1954,11,-1.13,-0.4,13.4,106.75342381409702
1954-12-01,1954,12,-0.72,-0.44,11.3,134.74546368938178
1955-01-01,1955,1,-0.65,-0.5,33.4,155.67307198663593
1955-02-01,1955,2,-0.64,-0.48,29.9,232.3053772120788
1955-03-01,1955,3,-0.79,-0.58,7.3,252.0757220862302
1955-04-01,1955,4,-1.06,-0.76,16.4,140.88161412570662
1955-05-01,1955,5,-1.16,-0.78,41.3,119.66782611531735
1955-06-01,1955,6,-1.17,-0.88,45.2,66.04317243819204
1955-07-01,1955,7,-1.01,-0.72,38.2,86.71586468094284
1955-08-01,1955,8,-0.94,-0.92,58.0,47.796246078833455
1955-09-01,1955,9,-1.11,-1.11,60.8,62.71260012190892
1955-10-01,1955,10,-1.2,-1.44,83.0,100.39432911741748
1955-11-01,1955,11,-1.26,-1.59,126.3,125.43203572188844
1955-12-01,1955,12,-1.1,-1.51,108.8,73.72437129625602
1956-01-01,1956,1,-0.93,-1.17,104.1,166.02871862387565
1956-02-01,1956,2,-0.61,-0.81,175.6,239.11105851052596
1956-03-01,1956,3,-0.51,-0.57,167.7,275.55857617403217
1956-04-01,1956,4,-0.42,-0.51,156.7,227.1794851135865
1956-05-01,1956,5,-0.41,-0.49,193.4,124.5433689140596
1956-06-01,1956,6,-0.04,-0.47,165.1,94.91124065640916
1956-07-01,1956,7,0.19,-0.55,182.7,117.8319002728412
1956-08-01,1956,8,0.08,-0.52,240.2,72.71818637311046
1956-09-01,1956,9,-0.33,-0.43,245.4,86.60337405059461
1956-10-01,1956,10,-0.54,-0.39,219.9,169.53433153380936
1956-11-01,1956,11,-0.64,-0.37,285.0,65.18768567432276
1956-12-01,1956,12,-0.83,-0.39,272.0,103.6522086816499
1957-01-01,1957,1,-0.51,-0.27,233.7,152.02043652736563
1957-02-01,1957,2,0.21,-0.06,184.5,303.34472168162915
1957-03-01,1957,3,1.18,0.26,222.8,322.3093912785364
1957-04-01,1957,4,2.05,0.63,248.0,300.3464243812578
1957-05-01,1957,5,2.53,0.72,233.0,150.2563880929221
1957-06-01,1957,6,2.81,0.82,284.3,90.09671140539102
1957-07-01,1957,7,2.38,0.96,265.1,49.37884245413689
1957-08-01,1957,8,1.92,1.03,223.7,44.65590859593348
1957-09-01,1957,9,1.47,1.12,334.0,56.32660570253741
1957-10-01,1957,10,1.25,1.15,359.4,153.3544097390788
1957-11-01,1957,11,1.16,1.39,298.6,174.23368743681735
1957-12-01,1957,12,0.97,1.62,339.0,157.9899532555865
1958-01-01,1958,1,0.82,1.69,286.7,202.4222122422766
1958-02-01,1958,2,0.77,1.59,233.6,238.2865564478924
1958-03-01,1958,3,1.01,1.17,270.0,310.2080106084295
1958-04-01,1958,4,1.05,0.84,277.6,223.8906813286069
1958-05-01,1958,5,0.95,0.57,248.2,137.68547582115195
1958-06-01,1958,6,0.77,0.49,242.9,58.70297203499136
1958-07-01,1958,7,0.56,0.43,271.0,60.68221814290603
1958-08-01,1958,8,0.35,0.32,283.5,53.96042505406248
1958-09-01,1958,9,0.22,0.28,285.1,77.6263247404488
1958-10-01,1958,10,0.22,0.3,256.9,169.61752673725212
1958-11-01,1958,11,0.19,0.36,215.6,115.7571223804786
1958-12-01,1958,12,-0.07,0.56,265.7,184.81197400440385
1959-01-01,1959,1,-0.15,0.6,307.7,136.10212155796685
1959-02-01,1959,2,0.15,0.64,202.6,220.08461750762723
1959-03-01,1959,3,0.52,0.48,263.0,297.2547786371917
1959-04-01,1959,4,0.64,0.39,231.3,227.37865868387013
1959-05-01,1959,5,0.38,0.24,243.6,112.12238168821196
1959-06-01,1959,6,0.19,0.02,238.9,75.77280782272923
1959-07-01,1959,7,-0.05,-0.19,211.9,51.1298386405938
1959-08-01,1959,8,-0.13,-0.23,282.6,45.71429564020178
1959-09-01,1959,9,-0.09,-0.04,205.6,60.22592164921096
1959-10-01,1959,10,0.28,0.11,157.7,111.63288844140328
1959-11-01,1959,11,0.41,0.23,175.6,100.66226981047969
1959-12-01,1959,12,0.36,0.14,177.1,196.79742387155815
1960-01-01,1960,1,0.14,0.02,207.2,159.4935429129331
1960-02-01,1960,2,0.15,0.03,149.9,191.7698632264764
1960-03-01,1960,3,-0.07,0.06,144.6,192.40602153033052
1960-04-01,1960,4,-0.2,0.17,172.7,142.579726786133
1960-05-01,1960,5,-0.52,0.04,169.3,102.56805443742076
1960-06-01,1960,6,-0.55,0.0,156.0,55.68806520353269
1960-07-01,1960,7,-0.56,0.01,172.4,53.075341064683975
1960-08-01,1960,8,-0.27,0.15,190.0,57.30223961003562
1960-09-01,1960,9,-0.18,0.19,180.1,60.64435626479528
1960-10-01,1960,10,-0.05,0.08,117.3,127.8338314081838
1960-11-01,1960,11,-0.05,-0.07,126.9,110.745786616593
1960-12-01,1960,12,0.25,-0.07,121.2,88.8048227425378
1961-01-01,1961,1,0.59,0.0,82.1,268.988612080494
1961-02-01,1961,2,0.49,0.03,65.4,189.55980796637155
1961-03-01,1961,3,0.25,0.01,75.2,238.15746594022644
1961-04-01,1961,4,-0.14,0.05,86.9,181.1034015251541
1961-05-01,1961,5,-0.16,0.22,72.3,98.66529684161776
1961-06-01,1961,6,-0.38,0.22,109.5,58.97251573814706
1961-07-01,1961,7,-0.5,0.08,99.3,35.15510741676846
1961-08-01,1961,8,-0.61,-0.2,79.2,33.236589787814744
1961-09-01,1961,9,-0.46,-0.32,90.1,49.11882559158288
1961-10-01,1961,10,-0.29,-0.22,53.7,95.922361013577
1961-11-01,1961,11,-0.2,-0.11,46.5,78.41211131657988
1961-12-01,1961,12,-0.12,-0.05,56.9,161.47192516102027
1962-01-01,1962,1,-0.17,-0.16,55.1,175.6464197079044
1962-02-01,1962,2,-0.6,-0.17,71.7,207.28234731523224
1962-03-01,1962,3,-1.14,-0.15,64.9,266.2052716601308
1962-04-01,1962,4,-1.34,-0.2,65.9,137.22620848491508
1962-05-01,1962,5,-1.01,-0.19,61.9,123.80133158496837
1962-06-01,1962,6,-0.63,-0.13,59.6,74.0264584519343
1962-07-01,1962,7,-0.43,0.0,31.4,50.35959600141246
1962-08-01,1962,8,-0.28,-0.1,31.5,43.24764081958024
1962-09-01,1962,9,-0.24,-0.16,72.7,50.89631137928335
1962-10-01,1962,10,-0.27,-0.25,56.1,109.03052581157029
1962-11-01,1962,11,-0.38,-0.25,38.8,82.28815699026103
1962-12-01,1962,12,-0.3,-0.32,33.2,107.02738655457604
1963-01-01,1963,1,-0.31,-0.33,28.7,170.10563858816298
1963-02-01,1963,2,-0.21,-0.17,35.2,159.94547603359953
1963-03-01,1963,3,-0.33,0.01,24.8,279.6252274969728
1963-04-01,1963,4,-0.18,0.13,41.7,136.6940313381437
1963-05-01,1963,5,-0.15,0.12,61.1,119.78403929457276
1963-06-01,1963,6,0.17,0.45,51.2,68.19538058023879
1963-07-01,1963,7,0.36,0.76,28.7,43.92670944522301
1963-08-01,1963,8,0.61,1.09,47.5,33.744012928322114
1963-09-01,1963,9,0.7,1.09,55.2,52.090189755794135
1963-10-01,1963,10,0.59,1.13,50.1,97.45770576734468
1963-11-01,1963,11,0.48,1.19,33.7,87.98229330152279
1963-12-01,1963,12,0.25,1.13,21.6,169.23032915020576
1964-01-01,1964,1,-0.14,0.95,22.6,151.76328533363576
1964-02-01,1964,2,-0.52,0.52,25.3,217.4426402936033
1964-03-01,1964,3,-0.75,0.06,24.1,332.8092612868006
1964-04-01,1964,4,-1.14,-0.35,12.9,237.74949141975063
1964-05-01,1964,5,-1.24,-0.6,14.3,127.11082094731472
1964-06-01,1964,6,-1.34,-0.66,13.5,95.5074436350854
1964-07-01,1964,7,-1.05,-0.67,4.8,77.95697104001414
1964-08-01,1964,8,-0.9,-0.7,13.8,60.27883704075256
1964-09-01,1964,9,-0.79,-0.72,7.0,54.0304701964211
1964-10-01,1964,10,-0.55,-0.8,9.2,87.6316476530406
1964-11-01,1964,11,-0.58,-0.79,11.1,104.98079514031846
1964-12-01,1964,12,-0.36,-0.75,22.1,113.10221129675118
1965-01-01,1965,1,-0.17,-0.51,25.4,144.15386702361627
1965-02-01,1965,2,0.26,-0.25,20.8,171.52446616538032
1965-03-01,1965,3,0.94,-0.04,17.5,258.302436847734
1965-04-01,1965,4,1.62,0.16,10.2,251.87084286192447
1965-05-01,1965,5,2.1,0.47,34.5,135.56587374629976
1965-06-01,1965,6,2.03,0.79,23.3,62.82857911674282
1965-07-01,1965,7,1.93,1.1,17.3,66.83504408952231
1965-08-01,1965,8,1.59,1.27,13.3,50.4275035445972
1965-09-01,1965,9,1.35,1.55,24.5,63.67137956425596
1965-10-01,1965,10,1.04,1.7,29.1,110.00953794336836
1965-11-01,1965,11,1.03,1.82,22.8,124.56078832352294
1965-12-01,1965,12,1.01,1.6,24.7,132.79875152074646
1966-01-01,1966,1,0.64,1.24,40.3,161.09710611726356
1966-02-01,1966,2,0.02,0.95,35.3,186.5104132091168
1966-03-01,1966,3,-0.65,0.76,36.4,227.4195160611944
1966-04-01,1966,4,-1.0,0.43,69.0,173.04612054721937
1966-05-01,1966,5,-1.03,0.24,64.2,121.32681229088662
1966-06-01,1966,6,-0.93,0.18,67.7,46.45523572304018
1966-07-01,1966,7,-0.8,0.25,80.2,52.34576976998245
1966-08-01,1966,8,-0.6,0.13,72.6,65.14707290475901
1966-09-01,1966,9,-0.34,-0.09,71.1,72.87265654453516
1966-10-01,1966,10,-0.26,-0.12,81.2,128.82628835682348
1966-11-01,1966,11,-0.17,-0.23,81.0,90.99611435728524
1966-12-01,1966,12,-0.32,-0.35,99.8,123.31025285668414
1967-01-01,1967,1,-0.18,-0.46,157.0,188.7472526628428
1967-02-01,1967,2,-0.3,-0.48,132.6,212.52852499616452
1967-03-01,1967,3,-0.21,-0.5,158.3,152.72925673553075
1967-04-01,1967,4,-0.27,-0.37,98.4,177.52208921391744
1967-05-01,1967,5,-0.27,-0.15,122.5,95.5892968667843
1967-06-01,1967,6,-0.4,0.05,95.4,81.268140058052
1967-07-01,1967,7,-0.67,-0.02,129.5,72.66102481254799
1967-08-01,1967,8,-0.95,-0.26,151.8,56.18690861878509
1967-09-01,1967,9,-1.14,-0.4,108.7,60.32585278068236
1967-10-01,1967,10,-1.24,-0.4,125.0,99.53454649752742
1967-11-01,1967,11,-1.24,-0.36,133.6,75.85613137143471
1967-12-01,1967,12,-1.21,-0.42,179.0,89.4049654001354
1968-01-01,1968,1,-1.05,-0.62,172.5,151.17244799956757
1968-02-01,1968,2,-0.95,-0.73,158.5,155.20411928793516
1968-03-01,1968,3,-1.02,-0.63,130.5,155.04299287565908
1968-04-01,1968,4,-1.2,-0.48,115.0,124.4545876031587
1968-05-01,1968,5,-1.21,-0.1,180.0,87.49911116709832
1968-06-01,1968,6,-0.89,0.17,156.2,67.5691653343219
1968-07-01,1968,7,-0.35,0.44,136.2,63.68378476632826
1968-08-01,1968,8,0.27,0.38,154.8,65.57686621623503
1968-09-01,1968,9,0.51,0.34,166.0,111.1260536302519
1968-10-01,1968,10,0.56,0.5,152.5,99.73934828330673
1968-11-01,1968,11,0.51,0.66,121.7,65.2237088152551
1968-12-01,1968,12,0.49,0.93,155.5,110.20267013036064
1969-01-01,1969,1,0.3,0.98,147.8,157.2941655699824
1969-02-01,1969,2,0.38,0.98,170.5,214.20549421647272
1969-03-01,1969,3,0.72,0.77,192.3,223.5961430221966
1969-04-01,1969,4,1.43,0.69,151.1,213.58987794779745
1969-05-01,1969,5,1.64,0.62,169.9,125.58895071278386
1969-06-01,1969,6,1.44,0.48,150.1,87.28290425076226
1969-07-01,1969,7,0.91,0.37,137.1,56.766638985402444
1969-08-01,1969,8,0.58,0.41,138.8,51.69962255497247
1969-09-01,1969,9,0.7,0.61,129.3,71.41805470609918
1969-10-01,1969,10,0.93,0.71,135.4,116.32950539529828
1969-11-01,1969,11,1.13,0.81,132.4,114.98611863680824
1969-12-01,1969,12,1.05,0.71,138.6,156.62996590301347
1970-01-01,1970,1,0.77,0.46,157.9,212.01772987669145
1970-02-01,1970,2,0.18,0.23,180.8,178.9372733200651
1970-03-01,1970,3,-0.3,0.23,145.7,181.84670286769637
1970-04-01,1970,4,-0.75,0.28,155.1,202.5503063975524
1970-05-01,1970,5,-1.0,0.11,180.5,117.2411045145757
1970-06-01,1970,6,-1.51,-0.26,151.3,77.87647800444789
1970-07-01,1970,7,-1.57,-0.55,159.3,70.70181257542322
1970-08-01,1970,8,-1.41,-0.72,131.7,44.803326681858856
1970-09-01,1970,9,-0.94,-0.69,140.8,82.2945859446682
1970-10-01,1970,10,-0.72,-0.72,122.6,107.62358889425644
1970-11-01,1970,11,-0.62,-0.78,134.8,84.87908483262986
1970-12-01,1970,12,-0.76,-1.1,118.2,148.70998379361387
1971-01-01,1971,1,-0.91,-1.29,129.2,148.37150823539088
1971-02-01,1971,2,-1.01,-1.36,111.8,205.72403404557693
1971-03-01,1971,3,-0.78,-1.08,85.9,397.6737051663392
1971-04-01,1971,4,-0.65,-0.81,101.6,242.69836358162505
1971-05-01,1971,5,-0.72,-0.72,81.5,156.60068027449833
1971-06-01,1971,6,-0.84,-0.69,70.7,118.35772818857303
1971-07-01,1971,7,-0.88,-0.68,114.7,86.97066007602841
1971-08-01,1971,8,-0.79,-0.6,87.0,81.51242749421968
1971-09-01,1971,9,-0.85,-0.68,71.3,76.43506806602251
1971-10-01,1971,10,-0.72,-0.78,73.4,170.96060483604396
1971-11-01,1971,11,-0.67,-0.86,89.5,147.30528149461244
1971-12-01,1971,12,-0.35,-0.78,116.5,178.4932459961339
1972-01-01,1972,1,0.14,-0.57,87.0,174.2000424052812
1972-02-01,1972,2,0.73,-0.27,125.3,231.43539347987976
1972-03-01,1972,3,1.04,0.04,113.5,364.1167868368391
1972-04-01,1972,4,1.11,0.25,89.6,179.0069870914889
1972-05-01,1972,5,1.47,0.48,113.9,102.52280889248038
1972-06-01,1972,6,1.93,0.7,124.7,81.55854446963463
1972-07-01,1972,7,2.45,1.0,108.3,85.82412195119028
1972-08-01,1972,8,2.25,1.26,108.9,61.25645520866496
1972-09-01,1972,9,2.06,1.49,90.7,62.67821777694618
1972-10-01,1972,10,1.7,1.69,86.9,67.89983796122698
1972-11-01,1972,11,1.94,1.84,59.2,131.8819452343691
1972-12-01,1972,12,1.91,1.77,64.3,153.27742951917926
1973-01-01,1973,1,1.58,1.55,61.8,242.196866325861
1973-02-01,1973,2,0.8,1.13,60.9,225.8021461868606
1973-03-01,1973,3,-0.02,0.56,65.4,258.5140863113201
1973-04-01,1973,4,-0.55,-0.03,81.8,240.5473884875608
1973-05-01,1973,5,-0.93,-0.51,60.3,189.5099398659941
1973-06-01,1973,6,-0.98,-0.8,56.1,96.50481632024795
1973-07-01,1973,7,-1.1,-0.99,33.2,94.19783530086735
1973-08-01,1973,8,-1.01,-1.11,36.6,80.41252475560827
1973-09-01,1973,9,-0.94,-1.26,84.1,107.12789204926705
1973-10-01,1973,10,-0.8,-1.58,43.7,77.42007201801431
1973-11-01,1973,11,-0.77,-1.89,34.3,114.1839518143086
1973-12-01,1973,12,-0.84,-2.04,33.3,100.37803188043648
1974-01-01,1974,1,-0.85,-1.87,39.4,145.333362353048
1974-02-01,1974,2,-0.67,-1.59,37.3,261.3467167009458
1974-03-01,1974,3,-0.39,-1.24,30.9,232.73307966900143
1974-04-01,1974,4,-0.01,-0.99,57.5,162.86272141307992
1974-05-01,1974,5,-0.03,-0.71,56.3,87.75853843414794
1974-06-01,1974,6,-0.09,-0.64,51.5,73.85411167385668
1974-07-01,1974,7,-0.22,-0.46,79.1,87.167822541213
1974-08-01,1974,8,-0.19,-0.4,47.9,83.1837485025924
1974-09-01,1974,9,-0.37,-0.47,57.2,97.2332683362181
1974-10-01,1974,10,-0.58,-0.69,67.2,159.252705518093
1974-11-01,1974,11,-0.88,-0.88,35.9,147.02084751133492
1974-12-01,1974,12,-0.85,-0.71,29.6,132.33308069154097
1975-01-01,1975,1,-0.83,-0.56,27.3,169.07947755322886
1975-02-01,1975,2,-0.37,-0.55,16.7,276.1521095505996
1975-03-01,1975,3,-0.02,-0.61,16.9,428.5077936710692
1975-04-01,1975,4,0.03,-0.66,7.7,237.12797098599137
1975-05-01,1975,5,-0.37,-0.8,13.1,136.8639732805203
1975-06-01,1975,6,-0.68,-0.92,16.7,98.59697422479132
1975-07-01,1975,7,-0.72,-1.08,40.4,75.48391785842196
1975-08-01,1975,8,-0.78,-1.12,56.7,88.07018319992444
1975-09-01,1975,9,-1.1,-1.29,20.3,78.93687592764478
1975-10-01,1975,10,-1.56,-1.32,13.6,118.77558388655407
1975-11-01,1975,11,-1.69,-1.47,27.9,107.84759546947836
1975-12-01,1975,12,-1.44,-1.58,11.6,79.91375182135475
1976-01-01,1976,1,-0.84,-1.49,11.9,255.58165011715948
1976-02-01,1976,2,-0.3,-1.11,6.4,264.28096101655984
1976-03-01,1976,3,0.15,-0.65,31.5,291.4891676219486
1976-04-01,1976,4,0.63,-0.45,27.3,186.54321594742075
1976-05-01,1976,5,1.23,-0.23,18.2,160.0985405525558
1976-06-01,1976,6,1.73,0.0,17.9,110.27697004111882
1976-07-01,1976,7,1.85,0.23,2.9,53.009167387475394
1976-08-01,1976,8,1.62,0.4,24.1,68.56437921312431
1976-09-01,1976,9,1.24,0.6,20.0,93.5047048134642
1976-10-01,1976,10,0.95,0.79,29.7,91.76573879698856
1976-11-01,1976,11,0.77,0.81,7.9,116.53064476323738
1976-12-01,1976,12,0.66,0.84,22.3,149.951178307114
1977-01-01,1977,1,0.43,0.71,23.8,195.06405602329724
1977-02-01,1977,2,0.25,0.66,33.3,230.413084077633
1977-03-01,1977,3,0.01,0.33,13.0,265.54273942676014
1977-04-01,1977,4,-0.15,0.26,19.0,165.7563270519492
1977-05-01,1977,5,-0.22,0.26,27.0,102.9430260855881
1977-06-01,1977,6,-0.18,0.46,54.9,95.78311987624907
1977-07-01,1977,7,-0.24,0.39,30.6,50.60005086469972
1977-08-01,1977,8,-0.44,0.35,43.0,62.107052372245136
1977-09-01,1977,9,-0.45,0.45,62.4,73.47414776085766
1977-10-01,1977,10,-0.34,0.68,62.1,103.23757407499706
1977-11-01,1977,11,-0.19,0.84,41.6,113.66317762260742
1977-12-01,1977,12,-0.19,0.82,61.4,144.40092467033728
1978-01-01,1978,1,-0.1,0.71,73.7,96.61109113289068
1978-02-01,1978,2,-0.21,0.52,132.6,189.16948793297436
1978-03-01,1978,3,-0.31,0.17,108.4,180.2058519345612
1978-04-01,1978,4,-0.56,-0.06,141.2,168.62353418168536
1978-05-01,1978,5,-0.58,-0.28,117.1,114.45112905760315
1978-06-01,1978,6,-0.62,-0.24,134.6,58.07546428169149
1978-07-01,1978,7,-0.73,-0.37,99.7,59.42635222047184
1978-08-01,1978,8,-0.67,-0.37,82.4,48.398045851452
1978-09-01,1978,9,-0.69,-0.44,195.7,73.63683023079011
1978-10-01,1978,10,-0.29,-0.27,177.1,81.43960866931859
1978-11-01,1978,11,0.0,-0.07,138.5,123.87543610279327
1978-12-01,1978,12,0.35,0.11,173.9,170.0006920375174
1979-01-01,1979,1,0.25,0.19,235.9,147.2627017197627
1979-02-01,1979,2,0.13,0.21,194.7,160.75381433255887
1979-03-01,1979,3,0.15,0.29,195.3,226.3634427198664
1979-04-01,1979,4,0.33,0.32,143.7,160.93516380959605
1979-05-01,1979,5,0.54,0.29,190.3,107.26932161999576
1979-06-01,1979,6,0.42,0.14,211.7,78.25831157163924
1979-07-01,1979,7,0.38,0.09,225.7,64.79719282881699
1979-08-01,1979,8,0.43,0.22,201.4,65.45982466946373
1979-09-01,1979,9,0.65,0.34,266.9,87.73477694054961
1979-10-01,1979,10,0.68,0.47,263.6,92.21366120513429
1979-11-01,1979,11,0.48,0.5,259.5,67.76630787601758
1979-12-01,1979,12,0.22,0.64,249.6,95.91015318985431
1980-01-01,1980,1,0.11,0.62,226.1,133.67793937437114
1980-02-01,1980,2,0.24,0.47,219.4,167.73121153381834
1980-03-01,1980,3,0.34,0.35,178.7,166.59160424241213
1980-04-01,1980,4,0.37,0.34,232.2,183.32259818274525
1980-05-01,1980,5,0.22,0.45,254.7,99.5688932318433
1980-06-01,1980,6,-0.05,0.4,222.7,61.30149451800104
1980-07-01,1980,7,-0.13,0.18,192.9,56.330441994318825
1980-08-01,1980,8,-0.15,-0.06,191.7,60.39672587598515
1980-09-01,1980,9,-0.05,-0.17,219.6,82.98851613733913
1980-10-01,1980,10,-0.06,-0.07,233.3,142.2272049734164
1980-11-01,1980,11,-0.13,0.08,209.5,136.2530797983465
1980-12-01,1980,12,-0.53,-0.05,246.9,125.362134565548
1981-01-01,1981,1,-0.74,-0.27,156.6,115.80752639970584
1981-02-01,1981,2,-0.74,-0.42,189.9,289.6236306676238
1981-03-01,1981,3,-0.48,-0.41,196.6,242.05756629024023
1981-04-01,1981,4,-0.34,-0.27,225.3,188.04429586251783
1981-05-01,1981,5,-0.38,-0.28,194.7,103.05739668285582
1981-06-01,1981,6,-0.41,-0.27,131.6,101.17529595359626
1981-07-01,1981,7,-0.55,-0.28,205.3,51.008966722614296
1981-08-01,1981,8,-0.63,-0.23,242.5,60.05687646761992
1981-09-01,1981,9,-0.56,-0.08,245.3,66.10426218960808
1981-10-01,1981,10,-0.4,-0.16,216.2,123.48570831127384
1981-11-01,1981,11,-0.24,-0.19,186.0,104.13347159469848
1981-12-01,1981,12,-0.14,-0.14,195.4,155.9649485937171
1982-01-01,1982,1,-0.17,-0.05,149.8,147.7145366113409
1982-02-01,1982,2,-0.45,0.02,230.9,204.76613058112815
1982-03-01,1982,3,-0.62,0.07,221.1,207.92834568480023
1982-04-01,1982,4,-0.45,0.34,170.3,181.0279440960079
1982-05-01,1982,5,0.0,0.65,119.3,122.03557021935774
1982-06-01,1982,6,0.45,0.73,163.7,59.09804248285271
1982-07-01,1982,7,0.8,0.78,139.4,57.34464446791717
1982-08-01,1982,8,1.16,0.99,161.9,54.57673079296049
1982-09-01,1982,9,1.58,1.45,167.4,93.38171091500452
1982-10-01,1982,10,2.26,1.82,134.3,173.0238134020054
1982-11-01,1982,11,2.83,2.03,127.5,179.83475322312702
1982-12-01,1982,12,3.11,2.12,169.0,367.67021806184897
1983-01-01,1983,1,2.85,2.14,115.5,457.74791669037023
1983-02-01,1983,2,2.63,1.91,73.1,355.4849739085884
1983-03-01,1983,3,2.87,1.52,88.7,446.3737597880578
1983-04-01,1983,4,3.48,1.23,109.6,414.1304502678768
1983-05-01,1983,5,4.13,0.95,132.5,273.24625508656703
1983-06-01,1983,6,4.32,0.62,131.5,149.04136071566546
1983-07-01,1983,7,3.99,0.25,108.9,78.16986687183699
1983-08-01,1983,8,3.0,-0.06,96.0,65.92695288125844
1983-09-01,1983,9,2.03,-0.43,69.9,89.01099459810031
1983-10-01,1983,10,1.13,-0.76,72.5,144.03450321870687
1983-11-01,1983,11,0.7,-0.96,45.7,133.33394399315017
1983-12-01,1983,12,0.24,-0.89,45.6,187.97222818426383
1984-01-01,1984,1,-0.11,-0.63,74.8,139.02279865336152
1984-02-01,1984,2,-0.38,-0.51,110.2,331.6601040301521
1984-03-01,1984,3,-0.32,-0.38,116.7,247.1314523970604
1984-04-01,1984,4,-0.39,-0.47,90.4,228.5468799246847
1984-05-01,1984,5,-0.43,-0.55,96.9,135.29784602364316
1984-06-01,1984,6,-0.54,-0.52,65.1,103.61285224751089
1984-07-01,1984,7,-0.38,-0.39,55.7,72.30352943683113
1984-08-01,1984,8,-0.12,-0.22,35.0,67.84871348678837
1984-09-01,1984,9,-0.1,-0.32,22.6,96.99964915523412
1984-10-01,1984,10,-0.02,-0.62,12.6,115.63218580052606
1984-11-01,1984,11,-0.18,-0.95,26.5,104.12293347598226
1984-12-01,1984,12,-0.27,-1.06,21.4,156.3172991018713
1985-01-01,1985,1,-0.61,-1.01,17.8,137.03609752208013
