fecha,anio,mes,ICEN,ONI,SSN
1955-06-01,1955,6,-1.17,-0.88,45.2
1955-07-01,1955,7,-1.01,-0.72,38.2
1955-08-01,1955,8,-0.94,-0.92,58.0
1955-09-01,1955,9,-1.11,-1.11,60.8
1955-10-01,1955,10,-1.2,-1.44,83.0
1955-11-01,1955,11,-1.26,-1.59,126.3
1955-12-01,1955,12,-1.1,-1.51,108.8
1956-01-01,1956,1,-0.93,-1.17,104.1
1956-02-01,1956,2,-0.61,-0.81,175.6
1956-03-01,1956,3,-0.51,-0.57,167.7
1956-04-01,1956,4,-0.42,-0.51,156.7
1956-05-01,1956,5,-0.41,-0.49,193.4
1956-06-01,1956,6,-0.04,-0.47,165.1
1956-07-01,1956,7,0.19,-0.55,182.7
1956-08-01,1956,8,0.08,-0.52,240.2
1956-09-01,1956,9,-0.33,-0.43,245.4
1956-10-01,1956,10,-0.54,-0.39,219.9
1956-11-01,1956,11,-0.64,-0.37,285.0
1956-12-01,1956,12,-0.83,-0.39,272.0
1957-01-01,1957,1,-0.51,-0.27,233.7
1957-02-01,1957,2,0.21,-0.06,184.5
1957-03-01,1957,3,1.18,0.26,222.8
1957-04-01,1957,4,2.05,0.63,248.0
1957-05-01,1957,5,2.53,0.72,233.0
1957-06-01,1957,6,2.81,0.82,284.3
1957-07-01,1957,7,2.38,0.96,265.1
1957-08-01,1957,8,1.92,1.03,223.7
1957-09-01,1957,9,1.47,1.12,334.0
1957-10-01,1957,10,1.25,1.15,359.4
1957-11-01,1957,11,1.16,1.39,298.6
1957-12-01,1957,12,0.97,1.62,339.0
1958-01-01,1958,1,0.82,1.69,286.7
1958-02-01,1958,2,0.77,1.59,233.6
1958-03-01,1958,3,1.01,1.17,270.0
1958-04-01,1958,4,1.05,0.84,277.6
1958-05-01,1958,5,0.95,0.57,248.2
1958-06-01,1958,6,0.77,0.49,242.9
1958-07-01,1958,7,0.56,0.43,271.0
1958-08-01,1958,8,0.35,0.32,283.5
1958-09-01,1958,9,0.22,0.28,285.1
1958-10-01,1958,10,0.22,0.3,256.9
1958-11-01,1958,11,0.19,0.36,215.6
1958-12-01,1958,12,-0.07,0.56,265.7
1959-01-01,1959,1,-0.15,0.6,307.7
1959-02-01,1959,2,0.15,0.64,202.6
1959-03-01,1959,3,0.52,0.48,263.0
1959-04-01,1959,4,0.64,0.39,231.3
1959-05-01,1959,5,0.38,0.24,243.6
1959-06-01,1959,6,0.19,0.02,238.9
1959-07-01,1959,7,-0.05,-0.19,211.9
1959-08-01,1959,8,-0.13,-0.23,282.6
1959-09-01,1959,9,-0.09,-0.04,205.6
1959-10-01,1959,10,0.28,0.11,157.7
1959-11-01,1959,11,0.41,0.23,175.6
1959-12-01,1959,12,0.36,0.14,177.1
1960-01-01,1960,1,0.14,0.02,207.2
1960-02-01,1960,2,0.15,0.03,149.9
1960-03-01,1960,3,-0.07,0.06,144.6
1960-04-01,1960,4,-0.2,0.17,172.7
1960-05-01,1960,5,-0.52,0.04,169.3
1960-06-01,1960,6,-0.55,0.0,156.0
1960-07-01,1960,7,-0.56,0.01,172.4
1960-08-01,1960,8,-0.27,0.15,190.0
1960-09-01,1960,9,-0.18,0.19,180.1
1960-10-01,1960,10,-0.05,0.08,117.3
1960-11-01,1960,11,-0.05,-0.07,126.9
1960-12-01,1960,12,0.25,-0.07,121.2
1961-01-01,1961,1,0.59,0.0,82.1
1961-02-01,1961,2,0.49,0.03,65.4
1961-03-01,1961,3,0.25,0.01,75.2
1961-04-01,1961,4,-0.14,0.05,86.9
1961-05-01,1961,5,-0.16,0.22,72.3
1961-06-01,1961,6,-0.38,0.22,109.5
1961-07-01,1961,7,-0.5,0.08,99.3
1961-08-01,1961,8,-0.61,-0.2,79.2
1961-09-01,1961,9,-0.46,-0.32,90.1
1961-10-01,1961,10,-0.29,-0.22,53.7
1961-11-01,1961,11,-0.2,-0.11,46.5
1961-12-01,1961,12,-0.12,-0.05,56.9
1962-01-01,1962,1,-0.17,-0.16,55.1
1962-02-01,1962,2,-0.6,-0.17,71.7
1962-03-01,1962,3,-1.14,-0.15,64.9
1962-04-01,1962,4,-1.34,-0.2,65.9
1962-05-01,1962,5,-1.01,-0.19,61.9
1962-06-01,1962,6,-0.63,-0.13,59.6
1962-07-01,1962,7,-0.43,0.0,31.4
1962-08-01,1962,8,-0.28,-0.1,31.5
1962-09-01,1962,9,-0.24,-0.16,72.7
1962-10-01,1962,10,-0.27,-0.25,56.1
1962-11-01,1962,11,-0.38,-0.25,38.8
1962-12-01,1962,12,-0.3,-0.32,33.2
1963-01-01,1963,1,-0.31,-0.33,28.7
1963-02-01,1963,2,-0.21,-0.17,35.2
1963-03-01,1963,3,-0.33,0.01,24.8
1963-04-01,1963,4,-0.18,0.13,41.7
1963-05-01,1963,5,-0.15,0.12,61.1
1963-06-01,1963,6,0.17,0.45,51.2
1963-07-01,1963,7,0.36,0.76,28.7
1963-08-01,1963,8,0.61,1.09,47.5
1963-09-01,1963,9,0.7,1.09,55.2
1963-10-01,1963,10,0.59,1.13,50.1
1963-11-01,1963,11,0.48,1.19,33.7
1963-12-01,1963,12,0.25,1.13,21.6
1964-01-01,1964,1,-0.14,0.95,22.6
1964-02-01,1964,2,-0.52,0.52,25.3
1964-03-01,1964,3,-0.75,0.06,24.1
1964-04-01,1964,4,-1.14,-0.35,12.9
1964-05-01,1964,5,-1.24,-0.6,14.3
1964-06-01,1964,6,-1.34,-0.66,13.5
1964-07-01,1964,7,-1.05,-0.67,4.8
1964-08-01,1964,8,-0.9,-0.7,13.8
1964-09-01,1964,9,-0.79,-0.72,7.0
1964-10-01,1964,10,-0.55,-0.8,9.2
1964-11-01,1964,11,-0.58,-0.79,11.1
1964-12-01,1964,12,-0.36,-0.75,22.1
1965-01-01,1965,1,-0.17,-0.51,25.4
1965-02-01,1965,2,0.26,-0.25,20.8
1965-03-01,1965,3,0.94,-0.04,17.5
1965-04-01,1965,4,1.62,0.16,10.2
1965-05-01,1965,5,2.1,0.47,34.5
1965-06-01,1965,6,2.03,0.79,23.3
1965-07-01,1965,7,1.93,1.1,17.3
1965-08-01,1965,8,1.59,1.27,13.3
1965-09-01,1965,9,1.35,1.55,24.5
1965-10-01,1965,10,1.04,1.7,29.1
1965-11-01,1965,11,1.03,1.82,22.8
1965-12-01,1965,12,1.01,1.6,24.7
1966-01-01,1966,1,0.64,1.24,40.3
1966-02-01,1966,2,0.02,0.95,35.3
1966-03-01,1966,3,-0.65,0.76,36.4
1966-04-01,1966,4,-1.0,0.43,69.0
1966-05-01,1966,5,-1.03,0.24,64.2
1966-06-01,1966,6,-0.93,0.18,67.7
1966-07-01,1966,7,-0.8,0.25,80.2
1966-08-01,1966,8,-0.6,0.13,72.6
1966-09-01,1966,9,-0.34,-0.09,71.1
1966-10-01,1966,10,-0.26,-0.12,81.2
1966-11-01,1966,11,-0.17,-0.23,81.0
1966-12-01,1966,12,-0.32,-0.35,99.8
1967-01-01,1967,1,-0.18,-0.46,157.0
1967-02-01,1967,2,-0.3,-0.48,132.6
1967-03-01,1967,3,-0.21,-0.5,158.3
1967-04-01,1967,4,-0.27,-0.37,98.4
1967-05-01,1967,5,-0.27,-0.15,122.5
1967-06-01,1967,6,-0.4,0.05,95.4
1967-07-01,1967,7,-0.67,-0.02,129.5
1967-08-01,1967,8,-0.95,-0.26,151.8
1967-09-01,1967,9,-1.14,-0.4,108.7
1967-10-01,1967,10,-1.24,-0.4,125.0
1967-11-01,1967,11,-1.24,-0.36,133.6
1967-12-01,1967,12,-1.21,-0.42,179.0
1968-01-01,1968,1,-1.05,-0.62,172.5
1968-02-01,1968,2,-0.95,-0.73,158.5
1968-03-01,1968,3,-1.02,-0.63,130.5
1968-04-01,1968,4,-1.2,-0.48,115.0
1968-05-01,1968,5,-1.21,-0.1,180.0
1968-06-01,1968,6,-0.89,0.17,156.2
1968-07-01,1968,7,-0.35,0.44,136.2
1968-08-01,1968,8,0.27,0.38,154.8
1968-09-01,1968,9,0.51,0.34,166.0
1968-10-01,1968,10,0.56,0.5,152.5
1968-11-01,1968,11,0.51,0.66,121.7
1968-12-01,1968,12,0.49,0.93,155.5
1969-01-01,1969,1,0.3,0.98,147.8
1969-02-01,1969,2,0.38,0.98,170.5
1969-03-01,1969,3,0.72,0.77,192.3
1969-04-01,1969,4,1.43,0.69,151.1
1969-05-01,1969,5,1.64,0.62,169.9
1969-06-01,1969,6,1.44,0.48,150.1
1969-07-01,1969,7,0.91,0.37,137.1
1969-08-01,1969,8,0.58,0.41,138.8
1969-09-01,1969,9,0.7,0.61,129.3
1969-10-01,1969,10,0.93,0.71,135.4
1969-11-01,1969,11,1.13,0.81,132.4
1969-12-01,1969,12,1.05,0.71,138.6
1970-01-01,1970,1,0.77,0.46,157.9
1970-02-01,1970,2,0.18,0.23,180.8
1970-03-01,1970,3,-0.3,0.23,145.7
1970-04-01,1970,4,-0.75,0.28,155.1
1970-05-01,1970,5,-1.0,0.11,180.5
1970-06-01,1970,6,-1.51,-0.26,151.3
1970-07-01,1970,7,-1.57,-0.55,159.3
1970-08-01,1970,8,-1.41,-0.72,131.7
1970-09-01,1970,9,-0.94,-0.69,140.8
1970-10-01,1970,10,-0.72,-0.72,122.6
1970-11-01,1970,11,-0.62,-0.78,134.8
1970-12-01,1970,12,-0.76,-1.1,118.2
1971-01-01,1971,1,-0.91,-1.29,129.2
1971-02-01,1971,2,-1.01,-1.36,111.8
1971-03-01,1971,3,-0.78,-1.08,85.9
1971-04-01,1971,4,-0.65,-0.81,101.6
1971-05-01,1971,5,-0.72,-0.72,81.5
1971-06-01,1971,6,-0.84,-0.69,70.7
1971-07-01,1971,7,-0.88,-0.68,114.7
1971-08-01,1971,8,-0.79,-0.6,87.0
1971-09-01,1971,9,-0.85,-0.68,71.3
1971-10-01,1971,10,-0.72,-0.78,73.4
1971-11-01,1971,11,-0.67,-0.86,89.5
1971-12-01,1971,12,-0.35,-0.78,116.5
1972-01-01,1972,1,0.14,-0.57,87.0
1972-02-01,1972,2,0.73,-0.27,125.3
1972-03-01,1972,3,1.04,0.04,113.5
1972-04-01,1972,4,1.11,0.25,89.6
1972-05-01,1972,5,1.47,0.48,113.9
1972-06-01,1972,6,1.93,0.7,124.7
1972-07-01,1972,7,2.45,1.0,108.3
1972-08-01,1972,8,2.25,1.26,108.9
1972-09-01,1972,9,2.06,1.49,90.7
1972-10-01,1972,10,1.7,1.69,86.9
1972-11-01,1972,11,1.94,1.84,59.2
1972-12-01,1972,12,1.91,1.77,64.3
1973-01-01,1973,1,1.58,1.55,61.8
1973-02-01,1973,2,0.8,1.13,60.9
1973-03-01,1973,3,-0.02,0.56,65.4
1973-04-01,1973,4,-0.55,-0.03,81.8
1973-05-01,1973,5,-0.93,-0.51,60.3
1973-06-01,1973,6,-0.98,-0.8,56.1
1973-07-01,1973,7,-1.1,-0.99,33.2
1973-08-01,1973,8,-1.01,-1.11,36.6
1973-09-01,1973,9,-0.94,-1.26,84.1
1973-10-01,1973,10,-0.8,-1.58,43.7
1973-11-01,1973,11,-0.77,-1.89,34.3
1973-12-01,1973,12,-0.84,-2.04,33.3
1974-01-01,1974,1,-0.85,-1.87,39.4
1974-02-01,1974,2,-0.67,-1.59,37.3
1974-03-01,1974,3,-0.39,-1.24,30.9
1974-04-01,1974,4,-0.01,-0.99,57.5
1974-05-01,1974,5,-0.03,-0.71,56.3
1974-06-01,1974,6,-0.09,-0.64,51.5
1974-07-01,1974,7,-0.22,-0.46,79.1
1974-08-01,1974,8,-0.19,-0.4,47.9
1974-09-01,1974,9,-0.37,-0.47,57.2
1974-10-01,1974,10,-0.58,-0.69,67.2
1974-11-01,1974,11,-0.88,-0.88,35.9
1974-12-01,1974,12,-0.85,-0.71,29.6
1975-01-01,1975,1,-0.83,-0.56,27.3
1975-02-01,1975,2,-0.37,-0.55,16.7
1975-03-01,1975,3,-0.02,-0.61,16.9
1975-04-01,1975,4,0.03,-0.66,7.7
1975-05-01,1975,5,-0.37,-0.8,13.1
1975-06-01,1975,6,-0.68,-0.92,16.7
1975-07-01,1975,7,-0.72,-1.08,40.4
1975-08-01,1975,8,-0.78,-1.12,56.7
1975-09-01,1975,9,-1.1,-1.29,20.3
1975-10-01,1975,10,-1.56,-1.32,13.6
1975-11-01,1975,11,-1.69,-1.47,27.9
1975-12-01,1975,12,-1.44,-1.58,11.6
1976-01-01,1976,1,-0.84,-1.49,11.9
1976-02-01,1976,2,-0.3,-1.11,6.4
1976-03-01,1976,3,0.15,-0.65,31.5
1976-04-01,1976,4,0.63,-0.45,27.3
1976-05-01,1976,5,1.23,-0.23,18.2
1976-06-01,1976,6,1.73,0.0,17.9
1976-07-01,1976,7,1.85,0.23,2.9
1976-08-01,1976,8,1.62,0.4,24.1
1976-09-01,1976,9,1.24,0.6,20.0
1976-10-01,1976,10,0.95,0.79,29.7
1976-11-01,1976,11,0.77,0.81,7.9
1976-12-01,1976,12,0.66,0.84,22.3
1977-01-01,1977,1,0.43,0.71,23.8
1977-02-01,1977,2,0.25,0.66,33.3
1977-03-01,1977,3,0.01,0.33,13.0
1977-04-01,1977,4,-0.15,0.26,19.0
1977-05-01,1977,5,-0.22,0.26,27.0
1977-06-01,1977,6,-0.18,0.46,54.9
1977-07-01,1977,7,-0.24,0.39,30.6
1977-08-01,1977,8,-0.44,0.35,43.0
1977-09-01,1977,9,-0.45,0.45,62.4
1977-10-01,1977,10,-0.34,0.68,62.1
1977-11-01,1977,11,-0.19,0.84,41.6
1977-12-01,1977,12,-0.19,0.82,61.4
1978-01-01,1978,1,-0.1,0.71,73.7
1978-02-01,1978,2,-0.21,0.52,132.6
1978-03-01,1978,3,-0.31,0.17,108.4
1978-04-01,1978,4,-0.56,-0.06,141.2
1978-05-01,1978,5,-0.58,-0.28,117.1
1978-06-01,1978,6,-0.62,-0.24,134.6
1978-07-01,1978,7,-0.73,-0.37,99.7
1978-08-01,1978,8,-0.67,-0.37,82.4
1978-09-01,1978,9,-0.69,-0.44,195.7
1978-10-01,1978,10,-0.29,-0.27,177.1
1978-11-01,1978,11,0.0,-0.07,138.5
1978-12-01,1978,12,0.35,0.11,173.9
1979-01-01,1979,1,0.25,0.19,235.9
1979-02-01,1979,2,0.13,0.21,194.7
1979-03-01,1979,3,0.15,0.29,195.3
1979-04-01,1979,4,0.33,0.32,143.7
1979-05-01,1979,5,0.54,0.29,190.3
1979-06-01,1979,6,0.42,0.14,211.7
1979-07-01,1979,7,0.38,0.09,225.7
1979-08-01,1979,8,0.43,0.22,201.4
1979-09-01,1979,9,0.65,0.34,266.9
1979-10-01,1979,10,0.68,0.47,263.6
1979-11-01,1979,11,0.48,0.5,259.5
1979-12-01,1979,12,0.22,0.64,249.6
1980-01-01,1980,1,0.11,0.62,226.1
1980-02-01,1980,2,0.24,0.47,219.4
1980-03-01,1980,3,0.34,0.35,178.7
1980-04-01,1980,4,0.37,0.34,232.2
1980-05-01,1980,5,0.22,0.45,254.7
1980-06-01,1980,6,-0.05,0.4,222.7
1980-07-01,1980,7,-0.13,0.18,192.9
1980-08-01,1980,8,-0.15,-0.06,191.7
1980-09-01,1980,9,-0.05,-0.17,219.6
1980-10-01,1980,10,-0.06,-0.07,233.3
1980-11-01,1980,11,-0.13,0.08,209.5
1980-12-01,1980,12,-0.53,-0.05,246.9
1981-01-01,1981,1,-0.74,-0.27,156.6
1981-02-01,1981,2,-0.74,-0.42,189.9
1981-03-01,1981,3,-0.48,-0.41,196.6
1981-04-01,1981,4,-0.34,-0.27,225.3
1981-05-01,1981,5,-0.38,-0.28,194.7
1981-06-01,1981,6,-0.41,-0.27,131.6
1981-07-01,1981,7,-0.55,-0.28,205.3
1981-08-01,1981,8,-0.63,-0.23,242.5
1981-09-01,1981,9,-0.56,-0.08,245.3
1981-10-01,1981,10,-0.4,-0.16,216.2
1981-11-01,1981,11,-0.24,-0.19,186.0
1981-12-01,1981,12,-0.14,-0.14,195.4
1982-01-01,1982,1,-0.17,-0.05,149.8
1982-02-01,1982,2,-0.45,0.02,230.9
1982-03-01,1982,3,-0.62,0.07,221.1
1982-04-01,1982,4,-0.45,0.34,170.3
1982-05-01,1982,5,0.0,0.65,119.3
1982-06-01,1982,6,0.45,0.73,163.7
1982-07-01,1982,7,0.8,0.78,139.4
1982-08-01,1982,8,1.16,0.99,161.9
1982-09-01,1982,9,1.58,1.45,167.4
1982-10-01,1982,10,2.26,1.82,134.3
1982-11-01,1982,11,2.83,2.03,127.5
1982-12-01,1982,12,3.11,2.12,169.0
1983-01-01,1983,1,2.85,2.14,115.5
1983-02-01,1983,2,2.63,1.91,73.1
1983-03-01,1983,3,2.87,1.52,88.7
1983-04-01,1983,4,3.48,1.23,109.6
1983-05-01,1983,5,4.13,0.95,132.5
1983-06-01,1983,6,4.32,0.62,131.5
1983-07-01,1983,7,3.99,0.25,108.9
1983-08-01,1983,8,3.0,-0.06,96.0
1983-09-01,1983,9,2.03,-0.43,69.9
1983-10-01,1983,10,1.13,-0.76,72.5
1983-11-01,1983,11,0.7,-0.96,45.7
1983-12-01,1983,12,0.24,-0.89,45.6
1984-01-01,1984,1,-0.11,-0.63,74.8
1984-02-01,1984,2,-0.38,-0.51,110.2
1984-03-01,1984,3,-0.32,-0.38,116.7
1984-04-01,1984,4,-0.39,-0.47,90.4
1984-05-01,1984,5,-0.43,-0.55,96.9
1984-06-01,1984,6,-0.54,-0.52,65.1
1984-07-01,1984,7,-0.38,-0.39,55.7
1984-08-01,1984,8,-0.12,-0.22,35.0
1984-09-01,1984,9,-0.1,-0.32,22.6
1984-10-01,1984,10,-0.02,-0.62,12.6
1984-11-01,1984,11,-0.18,-0.95,26.5
1984-12-01,1984,12,-0.27,-1.06,21.4
1985-01-01,1985,1,-0.61,-1.01,17.8
1985-02-01,1985,2,-0.69,-0.86,20.7
1985-03-01,1985,3,-0.87,-0.85,16.9
1985-04-01,1985,4,-1.03,-0.8,20.4
1985-05-01,1985,5,-1.18,-0.79,32.4
1985-06-01,1985,6,-1.16,-0.6,28.3
1985-07-01,1985,7,-0.97,-0.44,39.9
1985-08-01,1985,8,-0.9,-0.33,10.1
1985-09-01,1985,9,-0.77,-0.31,4.3
1985-10-01,1985,10,-0.69,-0.3,22.0
1985-11-01,1985,11,-0.53,-0.28,17.9
1985-12-01,1985,12,-0.26,-0.36,15.8
1986-01-01,1986,1,0.0,-0.4,2.8
1986-02-01,1986,2,-0.11,-0.38,27.9
1986-03-01,1986,3,-0.41,-0.25,13.8
1986-04-01,1986,4,-0.79,-0.17,22.4
1986-05-01,1986,5,-0.92,-0.09,16.1
1986-06-01,1986,6,-0.82,0.02,0.6
1986-07-01,1986,7,-0.5,0.24,18.1
1986-08-01,1986,8,-0.09,0.46,9.9
1986-09-01,1986,9,0.17,0.64,5.1
1986-10-01,1986,10,0.3,0.86,40.1
1986-11-01,1986,11,0.42,1.06,15.4
1986-12-01,1986,12,0.69,1.21,5.8
1987-01-01,1987,1,0.97,1.18,9.8
1987-02-01,1987,2,1.3,1.13,3.4
1987-03-01,1987,3,1.48,1.02,17.4
1987-04-01,1987,4,1.63,0.94,46.0
1987-05-01,1987,5,1.46,0.95,39.1
1987-06-01,1987,6,1.27,1.11,18.8
1987-07-01,1987,7,1.0,1.3,38.2
1987-08-01,1987,8,1.03,1.46,47.9
1987-09-01,1987,9,1.18,1.49,42.2
1987-10-01,1987,10,1.27,1.41,63.4
1987-11-01,1987,11,1.1,1.2,48.8
1987-12-01,1987,12,0.65,1.0,29.1
1988-01-01,1988,1,0.24,0.63,70.5
1988-02-01,1988,2,-0.2,0.37,45.4
1988-03-01,1988,3,-0.5,-0.03,91.2
1988-04-01,1988,4,-0.84,-0.45,108.8
1988-05-01,1988,5,-1.14,-0.99,74.2
1988-06-01,1988,6,-1.33,-1.3,124.3
1988-07-01,1988,7,-1.44,-1.3,131.4
1988-08-01,1988,8,-1.33,-1.14,139.4
1988-09-01,1988,9,-1.26,-1.27,142.7
1988-10-01,1988,10,-1.11,-1.54,156.5
1988-11-01,1988,11,-0.95,-1.81,156.8
1988-12-01,1988,12,-0.63,-1.85,231.2
1989-01-01,1989,1,-0.26,-1.64,210.1
1989-02-01,1989,2,0.0,-1.38,208.7
1989-03-01,1989,3,0.05,-1.09,170.4
1989-04-01,1989,4,-0.35,-0.85,166.3
1989-05-01,1989,5,-0.68,-0.61,195.4
1989-06-01,1989,6,-0.93,-0.4,284.5
1989-07-01,1989,7,-0.67,-0.37,180.5
1989-08-01,1989,8,-0.54,-0.36,232.0
1989-09-01,1989,9,-0.42,-0.33,225.1
1989-10-01,1989,10,-0.42,-0.25,212.2
1989-11-01,1989,11,-0.36,-0.12,238.2
1989-12-01,1989,12,-0.33,-0.04,211.4
1990-01-01,1990,1,-0.23,0.18,227.4
1990-02-01,1990,2,-0.19,0.19,171.8
1990-03-01,1990,3,-0.22,0.3,191.7
1990-04-01,1990,4,-0.27,0.27,189.7
1990-05-01,1990,5,-0.24,0.25,175.2
1990-06-01,1990,6,-0.3,0.25,153.3
1990-07-01,1990,7,-0.4,0.26,191.1
1990-08-01,1990,8,-0.48,0.32,252.1
1990-09-01,1990,9,-0.49,0.31,169.1
1990-10-01,1990,10,-0.57,0.27,199.4
1990-11-01,1990,11,-0.6,0.31,178.8
1990-12-01,1990,12,-0.54,0.34,197.1
1991-01-01,1991,1,-0.4,0.35,195.3
1991-02-01,1991,2,-0.26,0.26,240.3
1991-03-01,1991,3,-0.19,0.23,197.0
1991-04-01,1991,4,-0.16,0.29,197.6
1991-05-01,1991,5,-0.03,0.49,166.9
1991-06-01,1991,6,0.28,0.63,224.7
1991-07-01,1991,7,0.47,0.77,240.2
1991-08-01,1991,8,0.53,0.67,240.8
1991-09-01,1991,9,0.51,0.72,168.9
1991-10-01,1991,10,0.58,0.83,197.1
1991-11-01,1991,11,0.65,1.18,159.5
1991-12-01,1991,12,0.62,1.43,212.6
1992-01-01,1992,1,0.67,1.54,198.3
1992-02-01,1992,2,0.89,1.5,230.7
1992-03-01,1992,3,1.45,1.4,151.0
1992-04-01,1992,4,1.99,1.3,142.2
1992-05-01,1992,5,1.86,1.08,94.3
1992-06-01,1992,6,1.12,0.72,98.5
1992-07-01,1992,7,0.29,0.35,114.2
1992-08-01,1992,8,-0.01,0.08,91.9
1992-09-01,1992,9,-0.01,-0.15,94.0
1992-10-01,1992,10,-0.04,-0.22,133.4
1992-11-01,1992,11,-0.14,-0.24,129.6
1992-12-01,1992,12,-0.11,-0.05,122.0
1993-01-01,1993,1,0.1,0.13,81.4
1993-02-01,1993,2,0.41,0.31,127.8
1993-03-01,1993,3,0.82,0.5,102.4
1993-04-01,1993,4,1.11,0.73,94.4
1993-05-01,1993,5,1.26,0.76,78.8
1993-06-01,1993,6,1.08,0.56,69.6
1993-07-01,1993,7,0.85,0.28,80.4
1993-08-01,1993,8,0.6,0.22,62.5
1993-09-01,1993,9,0.52,0.2,31.2
1993-10-01,1993,10,0.38,0.2,71.1
1993-11-01,1993,11,0.21,0.2,48.2
1993-12-01,1993,12,0.03,0.19,68.4
1994-01-01,1994,1,-0.1,0.07,84.9
1994-02-01,1994,2,-0.36,0.0,54.9
1994-03-01,1994,3,-0.76,0.04,47.5
1994-04-01,1994,4,-1.0,0.17,27.4
1994-05-01,1994,5,-0.97,0.25,29.8
1994-06-01,1994,6,-0.83,0.23,39.7
1994-07-01,1994,7,-0.86,0.3,50.6
1994-08-01,1994,8,-0.63,0.3,34.3
1994-09-01,1994,9,-0.11,0.47,40.5
1994-10-01,1994,10,0.38,0.66,67.1
1994-11-01,1994,11,0.67,0.93,29.5
1994-12-01,1994,12,0.68,0.97,32.2
1995-01-01,1995,1,0.6,0.88,32.6
1995-02-01,1995,2,0.23,0.65,45.8
1995-03-01,1995,3,-0.54,0.46,46.3
1995-04-01,1995,4,-1.04,0.19,21.6
1995-05-01,1995,5,-1.18,0.03,19.4
1995-06-01,1995,6,-0.86,-0.11,22.5
1995-07-01,1995,7,-0.57,-0.3,20.4
1995-08-01,1995,8,-0.38,-0.55,18.2
1995-09-01,1995,9,-0.4,-0.81,15.7
1995-10-01,1995,10,-0.41,-0.97,30.6
1995-11-01,1995,11,-0.64,-1.05,14.0
1995-12-01,1995,12,-0.66,-1.01,14.9
1996-01-01,1996,1,-0.65,-0.88,13.3
1996-02-01,1996,2,-0.42,-0.7,7.7
1996-03-01,1996,3,-0.82,-0.52,12.6
1996-04-01,1996,4,-1.13,-0.36,6.8
